Membership ID		Date Joined		Active Status
    55527    		2017-8-10  		Yes   
    33968    		2019-12-17 		Yes   
    76211    		2020-2-26  		Yes   
    45861    		2016-2-19  		Yes   
    59022    		2018-8-13  		Yes   
    32742    		2017-10-11 		Yes   
    58737    		2017-4-25  		Yes   
    87351    		2017-9-21  		Yes   
    66476    		2020-7-8   		Yes   
    32742    		2017-10-11 		Yes   
    58737    		2017-4-25  		Yes   
    87351    		2017-9-21  		Yes   
    66476    		2020-7-8   		Yes   
    87351    		2017-9-21  		Yes   
    66476    		2020-7-8   		Yes   
    87351    		2017-9-21  		Yes   
    66476    		2020-7-8   		Yes   
    90874    		2016-9-18  		No    
    94507    		2017-12-26 		No    
    62623    		2018-5-19  		No    
