Membership ID		Date Joined		Active Status
    24495    		2018-5-21  		No    
    33057    		2015-4-26  		No    
    16577    		2020-2-18  		No    
    32765    		2020-6-16  		No    
    13974    		2019-12-11 		No    
    82405    		2017-7-3   		No    
    15067    		2016-7-26  		No    
    52327    		2016-10-15 		No    
    14885    		2016-5-13  		No    
    20888    		2019-12-7  		No    
    89520    		2020-7-6   		No    
    64747    		2017-9-9   		No    
    36780    		2015-3-13  		No    
    12583    		2018-1-20  		No    
    74754    		2017-8-14  		No    
    73935    		2018-1-20  		No    
