Membership No  Date Joined  Active  
    77565      2019-9-13    yes   
    69747      2020-11-3    no    
    94945      2019-5-25    yes   
    17680      2016-2-15    yes   
    89761      2019-4-18    no    
    33902      2017-3-23    yes   
    97195      2016-12-23   yes   
    74299      2015-11-4    yes   
    48443      2018-9-3     yes   
    10886      2015-12-13   yes   
    94808      2019-9-8     no    
    40010      2015-5-21    yes   
    75921      2017-8-8     yes   
    13891      2019-9-23    yes   
    41968      2016-10-19   yes   
    93329      2015-6-5     yes   
    56845      2018-7-14    yes   
    69192      2020-12-10   yes   
    12656      2017-9-12    no    
    49341      2016-9-19    no    
