Membership ID		Date Joined		Active Status
    86653    		2017-5-4   		No    
    85439    		2016-10-26 		No    
    13258    		2017-10-3  		No    
    57518    		2016-5-21  		No    
    69316    		2015-9-8   		No    
    17997    		2015-10-26 		No    
    57630    		2016-1-18  		No    
    69291    		2019-12-28 		No    
    69608    		2017-3-18  		No    
    65823    		2019-10-3  		No    
    48786    		2015-6-20  		No    
    88520    		2019-10-17 		No    
    93359    		2017-12-9  		No    
    24736    		2015-9-7   		No    
