Membership ID		Date Joined		Active Status
    40626    		2015-6-2   		Yes   
    62135    		2020-2-7   		Yes   
    95670    		2017-1-22  		Yes   
    66779    		2020-5-26  		Yes   
    86665    		2020-10-12 		Yes   
    54120    		2019-3-8   		Yes   
    32168    		2020-4-11  		Yes   
    18823    		2016-3-25  		Yes   
    35658    		2018-10-1  		Yes   
    52326    		2015-4-1   		Yes   
    66779    		2020-5-26  		Yes   
    86665    		2020-10-12 		Yes   
    54120    		2019-3-8   		Yes   
    62090    		2015-7-18  		No    
    32168    		2020-4-11  		Yes   
    18823    		2016-3-25  		Yes   
    35658    		2018-10-1  		Yes   
    87516    		2016-9-12  		No    
    52326    		2015-4-1   		Yes   
    15428    		2018-7-10  		No    
